objectid,fid_geocod,loc_name,status,score,match_type,match_addr,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,side,stpredir,stpretype,stname,sttype,stdir,staddr,nbrhd,city,subregion,region,postal,postalext,country,langcode,distance,x,y,displayx,displayy,xmin,xmax,ymin,ymax,arc_addres,arc_neighb,arc_city,arc_subreg,arc_region,arc_postal,arc_post_1,arc_countr,field1,report_num,address,city_1,zip,lat,long,fid_edgwoo,id,buff_dist
23,18651,USA.PointAddress,00:00:00,90.92,00:00:00,"518 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,518,,,R,W,,Thornton,St,,518 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545021,41.065434,-81.545011,41.06524,-81.546021,-81.544021,41.064434,41.066434,518 W THORNTON AV,,,,,44307,,,18651,03-028125,518 W THORNTON AV,,44307,,,0,0,2640.0
24,19142,USA.StreetAddress,00:00:00,100.0,00:00:00,"536 W Thornton St, Akron, Ohio, 44307",StreetAddress,,,,,,,,536,532,544,L,W,,Thornton,St,,536 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545639,41.065437,-81.545639,41.065437,-81.546639,-81.544639,41.064437,41.066437,536 W THORNTON ST,,Akron,,,44307,,,19142,7028649,536 W THORNTON ST,Akron,44307,,,0,0,2640.0
25,40707,USA.StreetAddress,00:00:00,91.4,00:00:00,"Taylor St & W Thornton St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.5454,41.065444,-81.5454,41.065444,-81.5454,-81.5454,41.065444,41.065444,TAYLOR @ W THORNTON,,,,,44307,,,40707,03-026764,TAYLOR @ W THORNTON,,44307,,,0,0,2640.0
26,40709,USA.StreetAddress,00:00:00,96.42,00:00:00,"Taylor St & W Thornton St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.5454,41.065444,-81.5454,41.065444,-81.5454,-81.5454,41.065444,41.065444,TAYLOR ST @ THORNTON ST,,,,,44307,,,40709,04-018211,TAYLOR ST @ THORNTON ST,,44307,,,0,0,2640.0
27,40742,USA.StreetAddress,00:00:00,96.42,00:00:00,"W Thornton St & Taylor St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.5454,41.065444,-81.5454,41.065444,-81.5454,-81.5454,41.065444,41.065444,THORNTON ST & TAYLOR ST,,,,,44307,,,40742,96-015909,THORNTON ST & TAYLOR ST,,44307,,,0,0,2640.0
28,18364,USA.PointAddress,00:00:00,100.0,00:00:00,"508 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,508,,,R,W,,Thornton,St,,508 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.544579,41.065453,-81.544591,41.06528,-81.545579,-81.543579,41.064453,41.066453,508 W THORNTON ST,,Akron,,,44307,,,18364,9023788,508 W THORNTON ST,Akron,44307,,,0,0,2640.0
29,18365,USA.PointAddress,00:00:00,100.0,00:00:00,"508 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,508,,,R,W,,Thornton,St,,508 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.544579,41.065453,-81.544591,41.06528,-81.545579,-81.543579,41.064453,41.066453,508 W THORNTON ST (IFO),,,,,44307,,,18365,03-009166,508 W THORNTON ST (IFO),,44307,,,0,0,2640.0
30,19175,USA.PointAddress,00:00:00,100.0,00:00:00,"538 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,538,,,L,W,,Thornton,St,,538 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545786,41.065464,-81.545791,41.06524,-81.546786,-81.544786,41.064464,41.066464,538 W THORNTON ST,,Akron,,,44307,,,19175,11013537,538 W THORNTON ST,Akron,44307,,,0,0,2640.0
31,18941,USA.PointAddress,00:00:00,100.0,00:00:00,"529 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,529,,,R,W,,Thornton,St,,529 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545439,41.065468,-81.545431,41.06581,-81.546439,-81.544439,41.064468,41.066468,529 W THORNTON ST,,Akron,,,44307,,,18941,9014832,529 W THORNTON ST,Akron,44307,,,0,0,2640.0
32,18942,USA.PointAddress,00:00:00,100.0,00:00:00,"529 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,529,,,R,W,,Thornton,St,,529 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545439,41.065468,-81.545431,41.06581,-81.546439,-81.544439,41.064468,41.066468,529 W THORNTON ST (STEWART & CALHOUN),,,,,44307,,,18942,98-037831,529 W THORNTON ST (STEWART & CALHOUN),,44307,,,0,0,2640.0
33,17964,USA.PointAddress,00:00:00,100.0,00:00:00,"496 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,496,,,R,W,,Thornton,St,,496 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.54428,41.065473,-81.544291,41.06529,-81.54528,-81.54328,41.064473,41.066473,496 W THORNTON ST,,Akron,,,44307,,,17964,9014789,496 W THORNTON ST,Akron,44307,,,0,0,2640.0
34,19358,USA.StreetAddress,00:00:00,100.0,00:00:00,"544 W Thornton St, Akron, Ohio, 44307",StreetAddress,,,,,,,,544,532,544,L,W,,Thornton,St,,544 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545859,41.065476,-81.545859,41.065476,-81.546859,-81.544859,41.064476,41.066476,544 W THORNTON ST,,Akron,,,44307,,,19358,9012476,544 W THORNTON ST,Akron,44307,,,0,0,2640.0
35,18860,USA.StreetAddress,00:00:00,100.0,00:00:00,"525 W Thornton St, Akron, Ohio, 44307",StreetAddress,,,,,,,,525,527,501,L,W,,Thornton,St,,525 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545239,41.065478,-81.545239,41.065478,-81.546239,-81.544239,41.064478,41.066478,525 W THORNTON ST,,Akron,,,44307,,,18860,12006177,525 W THORNTON ST,Akron,44307,,,0,0,2640.0
36,19035,USA.StreetAddress,00:00:00,100.0,00:00:00,"531 W Thornton St, Akron, Ohio, 44307",StreetAddress,,,,,,,,531,529,549,R,W,,Thornton,St,,531 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545549,41.065483,-81.545549,41.065483,-81.546549,-81.544549,41.064483,41.066483,531 W THORNTON ST,,Akron,,,44307,,,19035,12030745,531 W THORNTON ST,Akron,44307,,,0,0,2640.0
37,41800,USA.StreetAddress,00:00:00,95.7,00:00:00,"W Thornton St & Moeller Ave, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.544577,41.065483,-81.544577,41.065483,-81.544577,-81.544577,41.065483,41.065483,W THORNTON ST @ MOELLER,,,,,44307,,,41800,04-027004,W THORNTON ST @ MOELLER,,44307,,,0,0,2640.0
38,18587,USA.PointAddress,00:00:00,100.0,00:00:00,"515 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,515,,,L,W,,Thornton,St,,515 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.544913,41.065488,-81.544871,41.06571,-81.545913,-81.543913,41.064488,41.066488,515 W THORNTON ST,,Akron,,,44307,,,18587,10034332,515 W THORNTON ST,Akron,44307,,,0,0,2640.0
39,18476,USA.PointAddress,00:00:00,100.0,00:00:00,"511 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,511,,,L,W,,Thornton,St,,511 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.544733,41.065498,-81.544721,41.06571,-81.545733,-81.543733,41.064498,41.066498,511 W THORNTON ST,,,,,44307,,,18476,96-019454,511 W THORNTON ST,,44307,,,0,0,2640.0
40,39885,USA.StreetName,00:00:00,90.54,00:00:00,"W Thornton St, Akron, Ohio, 44307",StreetName,,,,,,,,,,,,W,,Thornton,St,,W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545865,41.065505,-81.545865,41.065505,-81.557865,-81.533865,41.053505,41.077505,S THORNTON ST,,,,,44307,,,39885,97-003053,S THORNTON ST,,44307,,,0,0,2640.0
41,41790,USA.StreetName,00:00:00,100.0,00:00:00,"W Thornton St, Akron, Ohio, 44307",StreetName,,,,,,,,,,,,W,,Thornton,St,,W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545865,41.065505,-81.545865,41.065505,-81.557865,-81.533865,41.053505,41.077505,W THORNTON ST,,Akron,,,44307,,,41790,8005597,W THORNTON ST,Akron,44307,,,0,0,2640.0
42,37179,USA.StreetAddress,00:00:00,95.7,00:00:00,"Leroy Ave & W Thornton St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.545967,41.065523,-81.545967,41.065523,-81.545967,-81.545967,41.065523,41.065523,LEROY ST AT W THORNTON ST,,,,,44307,,,37179,01-004784,LEROY ST AT W THORNTON ST,,44307,,,0,0,2640.0
43,41791,USA.StreetAddress,00:00:00,95.7,00:00:00,"W Thornton St & Leroy Ave, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.545967,41.065523,-81.545967,41.065523,-81.545967,-81.545967,41.065523,41.065523,W THORNTON ST & LEROY ST,,,,,44307,,,41791,02-020983,W THORNTON ST & LEROY ST,,44307,,,0,0,2640.0
44,37090,USA.StreetAddress,00:00:00,92.12,00:00:00,"Lane St & W Thornton St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.544019,41.065523,-81.544019,41.065523,-81.544019,-81.544019,41.065523,41.065523,LANE @ THORNTON ST,,,,,44307,,,37090,04-026547,LANE @ THORNTON ST,,44307,,,0,0,2640.0
45,40735,USA.StreetAddress,00:00:00,87.82,00:00:00,"W Thornton St & Lane St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.544019,41.065523,-81.544019,41.065523,-81.544019,-81.544019,41.065523,41.065523,THORNTON @ LANE,,,,,44307,,,40735,04-009186,THORNTON @ LANE,,44307,,,0,0,2640.0
46,40761,USA.StreetAddress,00:00:00,92.12,00:00:00,"W Thornton St & Lane St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.544019,41.065523,-81.544019,41.065523,-81.544019,-81.544019,41.065523,41.065523,THORNTON STREET  & LANE,,,,,44307,,,40761,00-032668,THORNTON STREET  & LANE,,44307,,,0,0,2640.0
47,41864,USA.StreetAddress,00:00:00,98.58,00:00:00,"W Thornton St & Lane St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.544019,41.065523,-81.544019,41.065523,-81.544019,-81.544019,41.065523,41.065523,W THRONTON ST @ LANE ST,,,,,44307,,,41864,03-029112,W THRONTON ST @ LANE ST,,44307,,,0,0,2640.0
48,17990,USA.PointAddress,00:00:00,100.0,00:00:00,"497 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,497,,,L,W,,Thornton,St,,497 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.544313,41.065528,-81.544381,41.06577,-81.545313,-81.543313,41.064528,41.066528,497 W THORNTON ST,,Akron,,,44307,,,17990,14029284,497 W THORNTON ST,Akron,44307,,,0,0,2640.0
49,17663,USA.PointAddress,00:00:00,100.0,00:00:00,"483 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,483,,,L,W,,Thornton,St,,483 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543823,41.065558,-81.543821,41.06579,-81.544823,-81.542823,41.064558,41.066558,483 W THORNTON ST,,Akron,,,44307,,,17663,8016797,483 W THORNTON ST,Akron,44307,,,0,0,2640.0
50,39960,USA.StreetAddress,00:00:00,95.7,00:00:00,"Schumacher Ave & W Thornton St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.543279,41.065572,-81.543279,41.065572,-81.543279,-81.543279,41.065572,41.065572,SCHUMACHER @ W THORNTON ST,,,,,44307,,,39960,03-040960,SCHUMACHER @ W THORNTON ST,,44307,,,0,0,2640.0
51,39964,USA.StreetAddress,00:00:00,95.7,00:00:00,"Schumacher Ave & W Thornton St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.543279,41.065572,-81.543279,41.065572,-81.543279,-81.543279,41.065572,41.065572,SCHUMACHER AVE @ W THORNTON,,,,,44307,,,39964,04-016961,SCHUMACHER AVE @ W THORNTON,,44307,,,0,0,2640.0
52,40737,USA.StreetAddress,00:00:00,87.82,00:00:00,"W Thornton St & Schumacher Ave, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.543279,41.065572,-81.543279,41.065572,-81.543279,-81.543279,41.065572,41.065572,THORNTON @ SCHUMACHER,,,,,44307,,,40737,04-026035,THORNTON @ SCHUMACHER,,44307,,,0,0,2640.0
53,40741,USA.StreetAddress,00:00:00,92.12,00:00:00,"W Thornton St & Schumacher Ave, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.543279,41.065572,-81.543279,41.065572,-81.543279,-81.543279,41.065572,41.065572,THORNTON ST & SCHUMACHER,,,,,44307,,,40741,99-042318,THORNTON ST & SCHUMACHER,,44307,,,0,0,2640.0
54,40747,USA.StreetAddress,00:00:00,96.42,00:00:00,"W Thornton St & Schumacher Ave, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.543279,41.065572,-81.543279,41.065572,-81.543279,-81.543279,41.065572,41.065572,THORNTON ST @ SCHUMACHER AVE,,,,,44307,,,40747,03-034869,THORNTON ST @ SCHUMACHER AVE,,44307,,,0,0,2640.0
55,17030,USA.PointAddress,00:00:00,100.0,00:00:00,"460 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,460,,,R,W,,Thornton,St,,460 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542989,41.065573,-81.542991,41.06535,-81.543989,-81.541989,41.064573,41.066573,460 W THORNTON ST,,Akron,,,44307,,,17030,8015054,460 W THORNTON ST,Akron,44307,,,0,0,2640.0
56,17568,USA.PointAddress,00:00:00,100.0,00:00:00,"479 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,479,,,L,W,,Thornton,St,,479 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543543,41.065578,-81.543611,41.06582,-81.544543,-81.542543,41.064578,41.066578,479 W THORNTON ST,,Akron,,,44307,,,17568,13026263,479 W THORNTON ST,Akron,44307,,,0,0,2640.0
57,16886,USA.PointAddress,00:00:00,100.0,00:00:00,"456 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,456,,,R,W,,Thornton,St,,456 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.54283,41.065583,-81.542831,41.06537,-81.54383,-81.54183,41.064583,41.066583,456 W THORNTON ST,,Akron,,,44307,,,16886,9030233,456 W THORNTON ST,Akron,44307,,,0,0,2640.0
58,19597,USA.PointAddress,00:00:00,100.0,00:00:00,"551 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,551,,,R,W,,Thornton,St,,551 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.546197,41.065588,-81.546171,41.06578,-81.547197,-81.545197,41.064588,41.066588,551 W THORNTON ST,,Akron,,,44307,,,19597,10030391,551 W THORNTON ST,Akron,44307,,,0,0,2640.0
59,17271,USA.PointAddress,00:00:00,100.0,00:00:00,"469 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,469,,,L,W,,Thornton,St,,469 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543284,41.065598,-81.543341,41.06579,-81.544284,-81.542284,41.064598,41.066598,469 W THORNTON ST,,Akron,,,44307,,,17271,7030213,469 W THORNTON ST,Akron,44307,,,0,0,2640.0
60,40599,USA.StreetAddress,00:00:00,86.79,00:00:00,"Snyder St & W Thornton St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.542987,41.065603,-81.542987,41.065603,-81.542987,-81.542987,41.065603,41.065603,SYNDER AVE @ W THORTON ST,,,,,44307,,,40599,04-024068,SYNDER AVE @ W THORTON ST,,44307,,,0,0,2640.0
61,41804,USA.StreetAddress,00:00:00,100.0,00:00:00,"W Thornton St & Snyder St, Akron, Ohio, 44307",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.542987,41.065603,-81.542987,41.065603,-81.542987,-81.542987,41.065603,41.065603,W THORNTON ST AT SNYDER ST,,,,,44307,,,41804,02-039030,W THORNTON ST AT SNYDER ST,,44307,,,0,0,2640.0
62,19973,USA.PointAddress,00:00:00,100.0,00:00:00,"565 W Thornton St, Akron, Ohio, 44307",PointAddress,,,,,,,,565,,,R,W,,Thornton,St,,565 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.546347,41.065608,-81.546351,41.0658,-81.547347,-81.545347,41.064608,41.066608,565 W THORNTON ST,,Akron,,,44307,,,19973,10000441,565 W THORNTON ST,Akron,44307,,,0,0,2640.0
