objectid,fid_geocod,loc_name,status,score,match_type,match_addr,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,side,stpredir,stpretype,stname,sttype,stdir,staddr,nbrhd,city,subregion,region,postal,postalext,country,langcode,distance,x,y,displayx,displayy,xmin,xmax,ymin,ymax,arc_addres,arc_neighb,arc_city,arc_subreg,arc_region,arc_postal,arc_post_1,arc_countr,field1,report_num,address,city_1,zip,lat,long,fid_cv_buf,id,buff_dist
12,13192,USA.PointAddress,00:00:00,100.0,00:00:00,"330 Park St, Akron, Ohio, 44304",PointAddress,,,,,,,,330,,,L,,,Park,St,,330 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506403,41.082304,-81.506511,41.08215,-81.507403,-81.505403,41.081304,41.083304,330 PARK ST,,,,,44304,,,13192,96-031619,330 PARK ST,,44304,,,0,0,2640.0
13,32121,USA.PointAddress,00:00:00,100.0,00:00:00,"98 Good St, Akron, Ohio, 44304",PointAddress,,,,,,,,98,,,L,,,Good,St,,98 Good St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.504088,41.082309,-81.504131,41.0823,-81.505088,-81.503088,41.081309,41.083309,98 GOOD ST,,,,,44304,,,32121,97-010737,98 GOOD ST,,44304,,,0,0,2640.0
14,11123,USA.PointAddress,00:00:00,100.0,00:00:00,"24 N Union St, Akron, Ohio, 44304",PointAddress,,,,,,,,24,,,L,N,,Union,St,,24 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507518,41.082319,-81.507751,41.08239,-81.508518,-81.506518,41.081319,41.083319,24 N UNION ST,,Akron,,,44304,,,11123,8007559,24 N UNION ST,Akron,44304,,,0,0,2640.0
15,11124,USA.PointAddress,00:00:00,100.0,00:00:00,"24 N Union St, Akron, Ohio, 44304",PointAddress,,,,,,,,24,,,L,N,,Union,St,,24 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507518,41.082319,-81.507751,41.08239,-81.508518,-81.506518,41.081319,41.083319,24 N UNION ST  APT #1,,,,,44304,,,11124,04-024168,24 N UNION ST  APT #1,,44304,,,0,0,2640.0
16,11125,USA.PointAddress,00:00:00,100.0,00:00:00,"24 N Union St, Akron, Ohio, 44304",PointAddress,,,,,,,,24,,,L,N,,Union,St,,24 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507518,41.082319,-81.507751,41.08239,-81.508518,-81.506518,41.081319,41.083319,24 N UNION ST #5,,,,,44304,,,11125,97-006854,24 N UNION ST #5,,44304,,,0,0,2640.0
17,11127,USA.PointAddress,00:00:00,100.0,00:00:00,"24 N Union St, Akron, Ohio, 44304",PointAddress,,,,,,,,24,,,L,N,,Union,St,,24 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507518,41.082319,-81.507751,41.08239,-81.508518,-81.506518,41.081319,41.083319,24 N UNION ST APT 4,,,,,44304,,,11127,03-009380,24 N UNION ST APT 4,,44304,,,0,0,2640.0
18,13114,USA.PointAddress,00:00:00,100.0,00:00:00,"327 Park St, Akron, Ohio, 44304",PointAddress,,,,,,,,327,,,R,,,Park,St,,327 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.50638,41.082357,-81.506281,41.0825,-81.50738,-81.50538,41.081357,41.083357,327 PARK ST,,,,,44304,,,13114,98-012467,327 PARK ST,,44304,,,0,0,2640.0
19,14227,USA.PointAddress,00:00:00,100.0,00:00:00,"370 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,370,,,L,,,Parkwood,Ave,,370 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.504499,41.082403,-81.504451,41.08229,-81.505499,-81.503499,41.081403,41.083403,370 PARKWOOD AV,,,,,44304,,,14227,97-037338,370 PARKWOOD AV,,44304,,,0,0,2640.0
20,13175,USA.StreetAddress,00:00:00,100.0,00:00:00,"33 N Union St, Akron, Ohio, 44304",StreetAddress,,,,,,,,33,1,43,R,N,,Union,St,,33 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507373,41.082416,-81.507373,41.082416,-81.508373,-81.506373,41.081416,41.083416,33 N UNION ST,,Akron,,,44304,,,13175,7015588,33 N UNION ST,Akron,44304,,,0,0,2640.0
21,13022,USA.PointAddress,00:00:00,100.0,00:00:00,"323 Park St, Akron, Ohio, 44304",PointAddress,,,,,,,,323,,,R,,,Park,St,,323 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.50651,41.082417,-81.506431,41.08257,-81.50751,-81.50551,41.081417,41.083417,323 PARK ST,,,,,44304,,,13022,97-037816,323 PARK ST,,44304,,,0,0,2640.0
22,12984,USA.PointAddress,00:00:00,100.0,00:00:00,"321 Park St, Akron, Ohio, 44304",PointAddress,,,,,,,,321,,,R,,,Park,St,,321 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506651,41.082477,-81.506621,41.08258,-81.507651,-81.505651,41.081477,41.083477,321 PARK ST,,,,,44304,,,12984,96-019874,321 PARK ST,,44304,,,0,0,2640.0
23,14036,USA.PointAddress,00:00:00,100.0,00:00:00,"364 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,364,,,L,,,Parkwood,Ave,,364 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.504769,41.082484,-81.504881,41.08232,-81.505769,-81.503769,41.081484,41.083484,364 PARKWOOD AV,,,,,44304,,,14036,97-009341,364 PARKWOOD AV,,44304,,,0,0,2640.0
24,14314,USA.PointAddress,00:00:00,100.0,00:00:00,"373 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,373,,,R,,,Parkwood,Ave,,373 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.504604,41.082487,-81.504571,41.08264,-81.505604,-81.503604,41.081487,41.083487,373 PARKWOOD AV,,,,,44304,,,14314,97-021665,373 PARKWOOD AV,,44304,,,0,0,2640.0
25,1056,USA.StreetAddress,00:00:00,100.0,00:00:00,"104 Good St, Akron, Ohio, 44304",StreetAddress,,,,,,,,104,100,198,L,,,Good,St,,104 Good St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.504072,41.082517,-81.504072,41.082517,-81.505072,-81.503072,41.081517,41.083517,104 GOOD ST,,,,,44304,,,1056,98-013828,104 GOOD ST,,44304,,,0,0,2640.0
26,14014,USA.PointAddress,00:00:00,100.0,00:00:00,"363 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,363,,,R,,,Parkwood,Ave,,363 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.504834,41.082558,-81.504791,41.08272,-81.505834,-81.503834,41.081558,41.083558,363 PARKWOOD AV,,,,,44304,,,14014,96-029224,363 PARKWOOD AV,,44304,,,0,0,2640.0
27,13956,USA.PointAddress,00:00:00,100.0,00:00:00,"360 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,360,,,L,,,Parkwood,Ave,,360 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505049,41.082563,-81.505141,41.08243,-81.506049,-81.504049,41.081563,41.083563,360 PARKWOOD AV,,,,,44304,,,13956,98-003092,360 PARKWOOD AV,,44304,,,0,0,2640.0
28,13983,USA.PointAddress,00:00:00,100.0,00:00:00,"361 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,361,,,R,,,Parkwood,Ave,,361 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.504974,41.082597,-81.504931,41.08275,-81.505974,-81.503974,41.081597,41.083597,361 PARKWOOD AV,,,,,44304,,,13983,96-025139,361 PARKWOOD AV,,44304,,,0,0,2640.0
29,14133,USA.StreetAddress,00:00:00,100.0,00:00:00,"368 Parkwood Ave, Akron, Ohio, 44304",StreetAddress,,,,,,,,368,398,300,L,,,Parkwood,Ave,,368 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505262,41.08262,-81.505262,41.08262,-81.506262,-81.504262,41.08162,41.08362,368H PARKWOOD AV,,,,,44304,,,14133,97-010852,368H PARKWOOD AV,,44304,,,0,0,2640.0
30,14122,USA.StreetAddress,00:00:00,100.0,00:00:00,"368 Parkwood Ave, Akron, Ohio, 44304",StreetAddress,,,,,,,,368,398,300,L,,,Parkwood,Ave,,368 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505276,41.082624,-81.505276,41.082624,-81.506276,-81.504276,41.081624,41.083624,368 PARKWOOD AV,,,,,44304,,,14122,97-026301,368 PARKWOOD AV,,44304,,,0,0,2640.0
31,14436,USA.StreetAddress,00:00:00,100.0,00:00:00,"377 Parkwood Ave, Akron, Ohio, 44304",StreetAddress,,,,,,,,377,399,301,R,,,Parkwood,Ave,,377 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505074,41.082624,-81.505074,41.082624,-81.506074,-81.504074,41.081624,41.083624,377 PARKWOOD AV,,,,,44304,,,14436,97-028406,377 PARKWOOD AV,,44304,,,0,0,2640.0
32,14089,USA.StreetAddress,00:00:00,90.92,00:00:00,"366 Parkwood Ave, Akron, Ohio, 44304",StreetAddress,,,,,,,,366,398,300,L,,,Parkwood,Ave,,366 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.50532,41.082636,-81.50532,41.082636,-81.50632,-81.50432,41.081636,41.083636,366 PARKWOOD,,,,,44304,,,14089,01-022986,366 PARKWOOD,,44304,,,0,0,2640.0
33,14371,USA.StreetAddress,00:00:00,100.0,00:00:00,"375 Parkwood Ave, Akron, Ohio, 44304",StreetAddress,,,,,,,,375,399,301,R,,,Parkwood,Ave,,375 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505118,41.082637,-81.505118,41.082637,-81.506118,-81.504118,41.081637,41.083637,375 PARKWOOD AV,,,,,44304,,,14371,98-028854,375 PARKWOOD AV,,44304,,,0,0,2640.0
34,13799,USA.PointAddress,00:00:00,100.0,00:00:00,"355 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,355,,,R,,,Parkwood,Ave,,355 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505114,41.082637,-81.505071,41.08279,-81.506114,-81.504114,41.081637,41.083637,355 PARKWOOD AV,,,,,44304,,,13799,97-016052,355 PARKWOOD AV,,44304,,,0,0,2640.0
35,13800,USA.PointAddress,00:00:00,100.0,00:00:00,"355 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,355,,,R,,,Parkwood,Ave,,355 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505114,41.082637,-81.505071,41.08279,-81.506114,-81.504114,41.081637,41.083637,355 PARKWOOD AVE,,,,,44304,,,13800,98-007738,355 PARKWOOD AVE,,44304,,,0,0,2640.0
36,13709,USA.PointAddress,00:00:00,100.0,00:00:00,"351 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,351,,,R,,,Parkwood,Ave,,351 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505244,41.082667,-81.505211,41.08283,-81.506244,-81.504244,41.081667,41.083667,351 PARKWOOD AV,,,,,44304,,,13709,98-028761,351 PARKWOOD AV,,44304,,,0,0,2640.0
37,13710,USA.PointAddress,00:00:00,90.92,00:00:00,"351 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,351,,,R,,,Parkwood,Ave,,351 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505244,41.082667,-81.505211,41.08283,-81.506244,-81.504244,41.081667,41.083667,351 PARKWOOD ST,,,,,44304,,,13710,00-024218,351 PARKWOOD ST,,44304,,,0,0,2640.0
38,14065,USA.StreetAddress,00:00:00,100.0,00:00:00,"365 Parkwood Ave, Akron, Ohio, 44304",StreetAddress,,,,,,,,365,399,301,R,,,Parkwood,Ave,,365 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505339,41.082699,-81.505339,41.082699,-81.506339,-81.504339,41.081699,41.083699,365 PARKWOOD AV,,,,,44304,,,14065,98-019420,365 PARKWOOD AV,,44304,,,0,0,2640.0
39,14066,USA.StreetAddress,00:00:00,100.0,00:00:00,"365 Parkwood Ave, Akron, Ohio, 44304",StreetAddress,,,,,,,,365,399,301,R,,,Parkwood,Ave,,365 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505339,41.082699,-81.505339,41.082699,-81.506339,-81.504339,41.081699,41.083699,365 PARKWOOD AVE,,,,,44304,,,14066,97-038381,365 PARKWOOD AVE,,44304,,,0,0,2640.0
40,12572,USA.StreetAddress,00:00:00,100.0,00:00:00,"301 Park St, Akron, Ohio, 44304",StreetAddress,,,,,,,,301,319,301,R,,,Park,St,,301 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507082,41.082704,-81.507082,41.082704,-81.508082,-81.506082,41.081704,41.083704,301 PARK ST,,Akron,,,44304,,,12572,14011316,301 PARK ST,Akron,44304,,,0,0,2640.0
41,13593,USA.PointAddress,00:00:00,100.0,00:00:00,"347 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,347,,,R,,,Parkwood,Ave,,347 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505384,41.082707,-81.505341,41.08287,-81.506384,-81.504384,41.081707,41.083707,347 PARKWOOD AVE,,,,,44304,,,13593,96-017336,347 PARKWOOD AVE,,44304,,,0,0,2640.0
42,38325,USA.StreetAddress,00:00:00,100.0,00:00:00,"N Union St & Park St, Akron, Ohio, 44304",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.507201,41.082732,-81.507201,41.082732,-81.507201,-81.507201,41.082732,41.082732,N UNION ST @ PARK ST,,,,,44304,,,38325,96-031933,N UNION ST @ PARK ST,,44304,,,0,0,2640.0
43,38701,USA.StreetAddress,00:00:00,91.4,00:00:00,"Park St & N Union St, Akron, Ohio, 44304",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.507201,41.082732,-81.507201,41.082732,-81.507201,-81.507201,41.082732,41.082732,PARK @ N UNION,,,,,44304,,,38701,03-029370,PARK @ N UNION,,44304,,,0,0,2640.0
44,38704,USA.StreetAddress,00:00:00,87.82,00:00:00,"Park St & N Union St, Akron, Ohio, 44304",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.507201,41.082732,-81.507201,41.082732,-81.507201,-81.507201,41.082732,41.082732,PARK @ UNION,,,,,44304,,,38704,03-029176,PARK @ UNION,,44304,,,0,0,2640.0
45,38714,USA.StreetAddress,00:00:00,100.0,00:00:00,"Park St & N Union St, Akron, Ohio, 44304",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.507201,41.082732,-81.507201,41.082732,-81.507201,-81.507201,41.082732,41.082732,PARK ST @ N UNION ST,,,,,44304,,,38714,96-034067,PARK ST @ N UNION ST,,44304,,,0,0,2640.0
46,38721,USA.StreetAddress,00:00:00,96.42,00:00:00,"Park St & N Union St, Akron, Ohio, 44304",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.507201,41.082732,-81.507201,41.082732,-81.507201,-81.507201,41.082732,41.082732,PARK ST @ UNION ST,,,,,44304,,,38721,03-028707,PARK ST @ UNION ST,,44304,,,0,0,2640.0
47,38722,USA.StreetAddress,00:00:00,96.42,00:00:00,"Park St & N Union St, Akron, Ohio, 44304",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.507201,41.082732,-81.507201,41.082732,-81.507201,-81.507201,41.082732,41.082732,PARK ST AT UNION ST,,,,,44304,,,38722,96-020660,PARK ST AT UNION ST,,44304,,,0,0,2640.0
48,40866,USA.StreetAddress,00:00:00,87.82,00:00:00,"N Union St & Park St, Akron, Ohio, 44304",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.507201,41.082732,-81.507201,41.082732,-81.507201,-81.507201,41.082732,41.082732,UNION & PARK,,,,,44304,,,40866,98-028064,UNION & PARK,,44304,,,0,0,2640.0
49,40873,USA.StreetAddress,00:00:00,96.42,00:00:00,"N Union St & Park St, Akron, Ohio, 44304",StreetInt,,,,,,,,,,,,,,,,,,,,,,,,USA,,0.0,-81.507201,41.082732,-81.507201,41.082732,-81.507201,-81.507201,41.082732,41.082732,UNION ST @ PARK ST,,,,,44304,,,40873,04-026457,UNION ST @ PARK ST,,44304,,,0,0,2640.0
50,3863,USA.PointAddress,00:00:00,100.0,00:00:00,"118 Good St, Akron, Ohio, 44304",PointAddress,,,,,,,,118,,,L,,,Good,St,,118 Good St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.504048,41.082784,-81.504061,41.08278,-81.505048,-81.503048,41.081784,41.083784,118 GOOD ST,,,,,44304,,,3863,97-030439,118 GOOD ST,,44304,,,0,0,2640.0
51,13401,USA.PointAddress,00:00:00,100.0,00:00:00,"339 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,339,,,R,,,Parkwood,Ave,,339 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505654,41.082787,-81.505611,41.08294,-81.506654,-81.504654,41.081787,41.083787,339 PARKWOOD AV,,,,,44304,,,13401,97-040048,339 PARKWOOD AV,,44304,,,0,0,2640.0
52,13289,USA.PointAddress,00:00:00,90.92,00:00:00,"334 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,334,,,L,,,Parkwood,Ave,,334 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505879,41.082794,-81.505951,41.08267,-81.506879,-81.504879,41.081794,41.083794,334 PARKWOOD #2,,,,,44304,,,13289,01-036070,334 PARKWOOD #2,,44304,,,0,0,2640.0
53,13290,USA.PointAddress,00:00:00,100.0,00:00:00,"334 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,334,,,L,,,Parkwood,Ave,,334 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505879,41.082794,-81.505951,41.08267,-81.506879,-81.504879,41.081794,41.083794,334 PARKWOOD AV,,,,,44304,,,13290,96-042434,334 PARKWOOD AV,,44304,,,0,0,2640.0
54,13291,USA.PointAddress,00:00:00,100.0,00:00:00,"334 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,334,,,L,,,Parkwood,Ave,,334 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505879,41.082794,-81.505951,41.08267,-81.506879,-81.504879,41.081794,41.083794,334 PARKWOOD AVE APT 2,,,,,44304,,,13291,01-023086,334 PARKWOOD AVE APT 2,,44304,,,0,0,2640.0
55,38706,USA.StreetName,00:00:00,100.0,00:00:00,"Park St, Akron, Ohio, 44304",StreetName,,,,,,,,,,,,,,Park,St,,Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.50741,41.082808,-81.50741,41.082808,-81.51141,-81.50341,41.078808,41.086808,PARK ST,,Akron,,,44304,,,38706,8013802,PARK ST,Akron,44304,,,0,0,2640.0
56,10740,USA.StreetAddress,00:00:00,90.1,00:00:00,"225 E Market St, Akron, Ohio, 44308",StreetAddress,,,,,,,,225,237,201,R,E,,Market,St,,225 E Market St,,Akron,,Ohio,44308,,USA,ENG,0.0,-81.510657,41.082809,-81.510657,41.082809,-81.511657,-81.509657,41.081809,41.083809,225 E MARKET ST,,Akron,,,44304,,,10740,8030180,225 E MARKET ST,Akron,44304,,,0,0,2640.0
57,16670,USA.PointAddress,00:00:00,100.0,00:00:00,"45 N Union St, Akron, Ohio, 44304",PointAddress,,,,,,,,45,,,R,N,,Union,St,,45 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507078,41.082819,-81.506821,41.08265,-81.508078,-81.506078,41.081819,41.083819,45 N UNION ST,,,,,44304,,,16670,96-031558,45 N UNION ST,,44304,,,0,0,2640.0
58,16671,USA.PointAddress,00:00:00,100.0,00:00:00,"45 N Union St, Akron, Ohio, 44304",PointAddress,,,,,,,,45,,,R,N,,Union,St,,45 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507078,41.082819,-81.506821,41.08265,-81.508078,-81.506078,41.081819,41.083819,45 N UNION ST APT 2,,,,,44304,,,16671,99-026006,45 N UNION ST APT 2,,44304,,,0,0,2640.0
59,13337,USA.StreetAddress,00:00:00,100.0,00:00:00,"336 Parkwood Ave, Akron, Ohio, 44304",StreetAddress,,,,,,,,336,398,300,L,,,Parkwood,Ave,,336 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.50598,41.082822,-81.50598,41.082822,-81.50698,-81.50498,41.081822,41.083822,336 PARKWOOD AV,,,,,44304,,,13337,97-001761,336 PARKWOOD AV,,44304,,,0,0,2640.0
60,16313,USA.PointAddress,00:00:00,100.0,00:00:00,"44 N Union St, Akron, Ohio, 44304",PointAddress,,,,,,,,44,,,L,N,,Union,St,,44 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507145,41.082832,-81.507281,41.08289,-81.508145,-81.506145,41.081832,41.083832,44 N UNION ST,,Akron,,,44304,,,16313,8026274,44 N UNION ST,Akron,44304,,,0,0,2640.0
61,10261,USA.PointAddress,00:00:00,90.92,00:00:00,"207 E Market St, Akron, Ohio, 44308",PointAddress,,,,,,,,207,,,R,E,,Market,St,,207 E Market St,,Akron,,Ohio,44308,,USA,ENG,0.0,-81.510771,41.082847,-81.510841,41.08351,-81.511771,-81.509771,41.081847,41.083847,207 E MARKET,,,,,44308,,,10261,00-007991,207 E MARKET,,44308,,,0,0,2640.0
62,13216,USA.PointAddress,00:00:00,100.0,00:00:00,"331 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,331,,,R,,,Parkwood,Ave,,331 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505934,41.082868,-81.505891,41.08301,-81.506934,-81.504934,41.081868,41.083868,331 PARKWOOD AV,,,,,44304,,,13216,97-001768,331 PARKWOOD AV,,44304,,,0,0,2640.0
63,13217,USA.PointAddress,00:00:00,100.0,00:00:00,"331 Parkwood Ave, Akron, Ohio, 44304",PointAddress,,,,,,,,331,,,R,,,Parkwood,Ave,,331 Parkwood Ave,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505934,41.082868,-81.505891,41.08301,-81.506934,-81.504934,41.081868,41.083868,331 PARKWOOD AVE APT 2,,,,,44304,,,13217,01-036647,331 PARKWOOD AVE APT 2,,44304,,,0,0,2640.0
